Chrono;Fourn.;Article;UC;Prix brut;Validit
22;4010ARMAS;A2055;Kg;Depuis le 23/06/2021, 9,9800 EUR/Kg;E
22;4010ARMAS;A0541;Kg;Depuis le 09/06/2021, 13,9000 EUR/Kg;E
22;4010ARMAS;A0603;Kg;Depuis le 10/06/2021, 6,5000 EUR/Kg;E
22;4010ARMAS;A2054;Kg;Depuis le 10/09/2021, 4,3000 EUR/Kg;E
22;4010ARMAS;A2052;Kg;Depuis le 09/09/2021, 8,9500 EUR/Kg;E
22;4010ARMAS;A1038;Kg;Depuis le 30/06/2021, 8,9500 EUR/Kg;E
22;4010ARMAS;A1037;Kg;Depuis le 30/06/2021, 7,9580 EUR/Kg;E
22;4010ARMAS;A2422;Kg;Depuis le 30/12/2021, 30,0000 EUR/Kg;E
22;4010ARMAS;A1035;Kg;Depuis le 16/12/2021, 15,5000 EUR/Kg;E
22;4010ARMAS;A2053;Kg;Depuis le 10/09/2021, 16,5000 EUR/Kg;E
22;4010ARMAS;A0601;Kg;Depuis le 10/06/2021, 8,5000 EUR/Kg;E
22;4010ARMAS;A0247;Kg;Depuis le 30/06/2021, 9,9500 EUR/Kg;E
22;4010ARMAS;A0606;Kg;Depuis le 10/06/2021, 9,8000 EUR/Kg;E
22;4010ARMAS;A0549;Kg;Depuis le 09/06/2021, 7,4600 EUR/Kg;E
22;4010ARMAS;A0550;Kg;Depuis le 09/06/2021, 6,5900 EUR/Kg;E
22;4010ARMAS;A0602;Kg;Depuis le 10/06/2021, 29,0000 EUR/SO;E
22;4010ARMAS;A0592;Kg;Depuis le 09/09/2021, 24,0000 EUR/SCH;E
22;4010ARMAS;A0579;Kg;Depuis le 10/06/2021, 12,9000 EUR/SCH;E
22;4010ARMAS;A0580;Kg;Depuis le 10/06/2021, 9,8500 EUR/SCH;E
22;4010ARMAS;A0616;Kg;Depuis le 10/06/2021, 19,9500 EUR/Kg;E
22;4010ARMAS;A2495;Kg;Depuis le 19/01/2022, 18,1000 EUR/Kg;E
22;4010ARMAS;A0605;Kg;Depuis le 10/06/2021, 11,2000 EUR/Kg;E
39;4010ASIA;A1780;P;Depuis le 23/08/2021, 10,0000 EUR/SCH;E
39;4010ASIA;A1822;Kg;Depuis le 27/08/2021, 28,0000 EUR/Kg;E
39;4010ASIA;A1825;L;Depuis le 27/08/2021, 90,0000 EUR/BID;E
39;4010ASIA;A0581;Kg;Depuis le 10/06/2021, 2,3500 EUR/SCH;E
39;4010ASIA;A1823;SCH;Depuis le 27/08/2021, 6,5000 EUR/SCH;E
39;4010ASIA;A0617;Kg;Depuis le 10/06/2021, 13,2200 EUR/SCH;E
39;4010ASIA;A1027;U;Depuis le 30/06/2021, 4,8000 EUR/U;E
39;4010ASIA;A0620;L;Depuis le 10/06/2021, 3,4000 EUR/L;E
39;4010ASIA;A0621;L;Depuis le 10/06/2021, 2,5500 EUR/L;E
39;4010ASIA;A0618;Kg;Depuis le 10/06/2021, 21,0000 EUR/Kg;E
39;4010ASIA;A0414;Kg;Depuis le 11/06/2021, 2,1100 EUR/SCH;E
39;4010ASIA;A0685;Kg;Depuis le 11/06/2021, 1,9350 EUR/SCH;E
39;4010ASIA;A0684;Kg;Depuis le 11/06/2021, 2,2050 EUR/SCH;E
39;4010ASIA;A0646;Kg;Depuis le 11/06/2021, 5,8812 EUR/U;E
39;4010ASIA;A0645;Kg;Depuis le 11/06/2021, 2,1600 EUR/SCH;E
39;4010ASIA;A0647;Kg;Depuis le 11/06/2021, 2,1070 EUR/U;E
39;4010ASIA;A0622;Kg;Depuis le 10/06/2021, 5,3900 EUR/Kg;E
39;4010ASIA;A0409;Kg;Depuis le 30/06/2021, 1,5800 EUR/U;E
39;4010ASIA;A1824;L;Depuis le 27/08/2021, 8,9600 EUR/BID;E
39;4010ASIA;A1028;L;Depuis le 30/06/2021, 33,0600 EUR/SAC;E
39;4010ASIA;A1029;L;Depuis le 30/06/2021, 25,5600 EUR/CAR;E
39;4010ASIA;A0619;Kg;Depuis le 10/06/2021, 19,5000 EUR/SCH;E
39;4010ASIA;A1026;Kg;Depuis le 30/06/2021, 12,7300 EUR/U;E
39;4010ASIA;A1053;Kg;Depuis le 30/06/2021, 1,2330 EUR/SCH;E
39;4010ASIA;A0861;Kg;Depuis le 30/06/2021, 1,9100 EUR/SCH;E
19;4010ATOBA;A0472;P;Depuis le 04/06/2021, 0,0185 EUR/P;E
19;4010ATOBA;A1090;P;Depuis le 21/12/2021, 0,1540 EUR/P;E
19;4010ATOBA;A0471;U;Depuis le 04/06/2021, 0,0275 EUR/U;E
19;4010ATOBA;A1511;P;Depuis le 20/07/2021, 0,0235 EUR/P;E
19;4010ATOBA;A1512;P;Depuis le 20/07/2021, 0,9750 EUR/P;E
19;4010ATOBA;A1513;P;Depuis le 20/07/2021, 0,1500 EUR/P;E
27;4010AVIFER;A0623;P;Depuis le 10/06/2021, 9,0000 EUR/PLQ;E
89;4010BAG;A1077;P;Depuis le 01/07/2021, 0,7300 EUR/P;E
89;4010BAG;A1307;P;Depuis le 05/07/2021, 0,5500 EUR/P;E
89;4010BAG;A1306;P;Depuis le 05/07/2021, 0,4200 EUR/P;E
89;4010BAG;A1078;P;Depuis le 01/07/2021, 0,8800 EUR/P;E
89;4010BAG;A1079;P;Depuis le 01/07/2021, 1,1500 EUR/P;E
89;4010BAG;A1080;P;Depuis le 01/07/2021, 2,2000 EUR/P;E
89;4010BAG;A1081;P;Depuis le 01/07/2021, 0,2200 EUR/P;E
89;4010BAG;A1082;P;Depuis le 01/07/2021, 0,2500 EUR/P;E
89;4010BAG;A1083;P;Depuis le 01/07/2021, 1,2500 EUR/P;E
89;4010BAG;A1084;P;Depuis le 01/07/2021, 0,1500 EUR/P;E
89;4010BAG;A1085;P;Depuis le 01/07/2021, 0,1600 EUR/P;E
89;4010BAG;A1086;P;Depuis le 01/07/2021, 0,6300 EUR/P;E
89;4010BAG;A1087;P;Depuis le 01/07/2021, 0,6300 EUR/P;E
83;4010BANA;A0167;Kg;Depuis le 01/07/2021, 3,5000 EUR/Kg;E
83;4010BANA;A1055;Kg;Depuis le 01/07/2021, 2,0000 EUR/Kg;E
83;4010BANA;A1056;Kg;Depuis le 01/07/2021, 1,5000 EUR/Kg;E
83;4010BANA;A1057;Kg;Depuis le 01/07/2021, 6,5000 EUR/Kg;E
83;4010BANA;A2394;Kg;Depuis le 21/12/2021, 6,5000 EUR/Kg;E
169;4010BARDEU;A0274;Kg;Depuis le 12/11/2021, 0,0000 EUR/Kg;E
26;4010BELG;A0561;Kg;Depuis le 09/06/2021, 1,5000 EUR/Kg;E
26;4010BELG;A0562;Kg;Depuis le 09/06/2021, 1,5000 EUR/Kg;E
26;4010BELG;A0563;Kg;Depuis le 09/06/2021, 1,5000 EUR/Kg;E
26;4010BELG;A0564;Kg;Depuis le 09/06/2021, 1,5000 EUR/Kg;E
26;4010BELG;A0008;Kg;Depuis le 09/06/2021, 1,5000 EUR/Kg;E
26;4010BELG;A0007;Kg;Depuis le 09/06/2021, 1,5000 EUR/Kg;E
163;4010BERNAD;A1915;U;Depuis le 08/09/2021, 4,0900 EUR/U;E
163;4010BERNAD;A1243;U;Depuis le 08/09/2021, 3,9100 EUR/U;E
63;4010BIOIMP;A0878;U;Depuis le 23/06/2021, 1,4000 EUR/U;E
